Meter Location,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24
"F503, Castle Lecture ",3000,3100,6200,7800,18500,14200,23900,25600,29500,25100,12300,8400,5100,5600,13000,13400,23300,19500,31600,39300,25700,16200,12000,12200,6300,15800,21700,16900,35600,19600,36300,34900,22600,19500
"F505, Richardson Total",70400,57580,91180,113220,178900,244390,277480,230550,225400,181170,96060,81700,54320,33310,80260,144380,175910,215970,248420,235160,163090,140620,116000,74270,61660,70940,131450,123910,225300,228760,251010,233510,191820,154650
"F518, Arts Building ",17100,16600,28100,43000,67800,80400,103400,90200,81000,69400,31400,22100,9500,6900,33500,50800,75300,71300,85400,102200,64900,54600,39400,19400,15000,18700,39900,55100,88900,68300,78200,80300,51600,47100
G401 Mellor Lab total,127500,131600,157500,201800,304300,422100,451200,372100,350600,304500,177800,161400,99400,101599.8047,168100.1953,223501,280000,349600,399899,408301,271199,242500,203700.5859,141999.4141,112700,119299.6,189800.79,216200.2,332200.2,324798.81,348000.99,331899.41,260099.6,224101.58
"G404, Microbiology ",50000,55780,76570,75630,103760,113850,188950,142060,129300,121770,68800,59930,40790,48170,78610,113010,167980,140760,137780,198140,126250,118420,114540,81670,54530,76570,95450,102000,144400,133940,154940,141410,118040,100620
"G413, Science 2 total",91850,76460,112780,119450,182660,238800,263150,229170,237440,216430,132260,112950,83360,76809.98535,97660.01465,132050,178980,202050,215250,217960,192470,178400,138960,100460,91560,99050,150579.937,166520.039,226940.004,203879.961,221569.966,211340.02,169640.019,148000
"G501, Staff Club ",1110,1090,2800,3970,6770,10250,10630,8400,7370,5780,2150,1290,260,540,1720,2620,5900,6590,5660,7020,3880,4400,4080,2180,2160,1790,4840,5560,10690,9340,12140,10000,7790,7320
"G405, Science 3 ",76300,73200,77300,91400,161500,227500,259000,181900,197000,182200,84500,74300,39800,32900,52200,92000,107300,158000,184100,177600,132200,119800,103800,88900,84300,96400,96100,98700,163600,169000,184400,184500,146000,138400
"G411, St David Lecture ",6200,8900,10600,18900,34700,50700,73200,31200,33900,29800,9500,9400,3000,8900,10600,17700,28600,37300,48600,44200,30100,2900,900,0,100,0,0,23100,46000,32400,47200,41200,24500,21200
"H402, St David 2 ",13950,13000,18650,20020,29030,40100,35000,44100,37400,31600,18900,18300,7900,8500,19500,22000,31300,40700,46600,48400,33000,28000,22000,25000,18000,11000,25500,30000,31000,31000,65500,36000,35000,27000
"F419, ISB ",23000,34000,20000,48000,68000,110000,175000,108000,83000,82000,52000,35000,19800,25200,58160,80840,121000,118000,143000,139000,135000,61540,62460,51000,27000,36000,110000,101340,145660,120000,177000,130000,140000,112000
